[2025-09-13 21:49:28] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-13 21:49:28] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-13 21:49:28] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-13 21:49:28] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-13 21:55:42] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 21:55:42] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-13 22:26:49] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 22:26:50] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-13 23:26:34] [INFO] Usuario: WilliamsWick | IP: ::1 | INICIO_ACTUALIZACION | Piso 1: Procesando 2 coordenadas
[2025-09-13 23:26:34] [INFO] Usuario: WilliamsWick | IP: ::1 | COORD_ACTUALIZADA | Equipo 2: Coordenadas (808, 49) en piso 1
[2025-09-13 23:26:34] [INFO] Usuario: WilliamsWick | IP: ::1 | COORD_ACTUALIZADA | Equipo 1: Coordenadas (804, 191) en piso 1
[2025-09-13 23:26:34] [INFO] Usuario: WilliamsWick | IP: ::1 | BATCH_UPDATE_SUCCESS | Actualizadas 2 coordenadas. Errores: 0, Advertencias: 0
[2025-09-13 23:26:34] [INFO] Usuario: WilliamsWick | IP: ::1 | ACTUALIZACION_EXITOSA | Piso 1: 2 coordenadas actualizadas. Errores: 0, Advertencias: 0
[2025-09-13 23:56:12] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 23:56:12] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-13 23:56:13] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-13 23:56:13] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-13 23:56:14] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-13 23:56:14] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-13 23:57:15] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 23:57:15] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 00:02:38] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 00:02:38] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 00:02:40] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 00:02:40] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-14 00:02:59] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 00:02:59] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 00:03:01] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 00:03:01] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-14 00:03:03] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 00:03:03] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 01:27:05] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 01:27:05] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 1, Desconectados: 1
[2025-09-14 01:29:13] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
